Frame	ID	CentroidX	CentroidY	Width	Length	Area	Angle	NONpro	PARcau	SPIter	STEvir
1	0	4830	3018	11.0	18.0	122.5	90.0	0.55994946	0.00014241801	0.43952906	0.00037902058
1	1	5055	3009	18.0	22.0	199.5	90.0	0.2012317	0.0005810827	0.7971888	0.0009984474
1	2	3288	3007	20.0	21.0	359.0	90.0	0.9996712	0.0002971312	1.2002479e-05	1.9626e-05
1	3	832	2991	8.944	23.324	129.0	30.256	0.8613177	0.0036281196	0.13457595	0.0004782176
1	4	513	2953	11.0	15.0	115.5	90.0	0.3900624	0.013472185	0.5932839	0.0031814745
1	5	4872	2943	10.7	18.722	117.5	34.992	0.47594923	0.0017694565	0.52099454	0.0012867895
1	6	4473	2917	13.829	57.169	594.0	11.31	0.59744143	0.26897803	0.13115704	0.00242346
1	7	5388	2890	20.248	24.698	346.0	32.735	0.78247523	0.0054643964	0.21158174	0.00047862116
1	8	476	2877	7.649	20.012	107.5	12.095	0.7827689	0.0020631643	0.21423398	0.0009339368
1	9	4955	2831	11.402	25.0	133.5	73.301	0.54690814	0.00018610123	0.4523552	0.00055064616
1	10	1029	2842	31.036	49.54	1010.0	87.51	0.12494513	0.8593648	0.009065499	0.006624527
1	11	4812	2813	28.636	58.464	1149.5	77.471	0.99731463	0.0002783966	0.00215486	0.00025205014
1	12	3390	2741	18.828	51.21	733.5	80.538	0.091266796	0.9034491	0.0031329293	0.0021512008
1	13	584	2666	23.022	23.854	305.0	34.695	0.30525392	0.0015297632	0.6928197	0.00039656283
1	14	3082	2626	20.0	21.0	361.0	90.0	0.99997044	1.8995937e-05	4.6421383e-06	5.8664004e-06
1	15	524	2566	26.349	29.262	564.0	32.735	0.5372525	0.0036107574	0.4582705	0.00086621655
1	16	1117	2550	29.0	32.0	721.5	90.0	0.9994246	0.00046830383	7.637037e-06	9.95699e-05
1	17	3111	2537	19.0	19.0	301.5	90.0	0.99497366	0.0049412567	1.2448187e-05	7.261812e-05
1	18	2353	2489	15.042	73.466	334.0	67.249	0.004807456	0.002711249	0.7802152	0.21226606
1	19	4884	2472	21.0	24.0	395.0	90.0	0.99965346	9.481015e-05	0.00024107378	1.0652642e-05
1	20	3222	2460	31.0	33.0	836.5	90.0	0.9998473	0.00010847909	4.7553467e-06	3.9463215e-05
1	21	4218	2430	14.0	17.0	199.5	90.0	0.99842834	0.0004606535	0.001090579	2.0458721e-05
1	22	1042	2425	9.0	13.0	107.5	90.0	0.8702164	0.00031524213	0.12937148	9.679694e-05
1	23	2975	2380	17.0	19.0	266.5	90.0	0.9998398	9.143419e-06	5.7373677e-06	0.00014532564
1	24	928	2373	11.281	24.026	151.0	77.005	0.50109017	0.005024281	0.49203	0.001855562
1	25	2272	2351	22.327	153.247	1286.0	55.491	0.016460063	0.0058220867	0.26488402	0.71283376
1	26	849	2220	9.192	14.849	90.5	45.0	0.7884114	0.0018767836	0.20931724	0.00039458537
1	27	5025	2219	11.543	30.037	181.0	87.614	0.40173247	0.00037425893	0.5972197	0.00067364454
1	28	2646	2066	25.495	26.907	486.5	40.914	0.78564733	0.031031251	0.18091919	0.0024022642
1	29	4291	2042	13.757	37.165	354.5	17.65	0.632479	0.030876802	0.335954	0.00069026294
1	30	170	2007	27.019	60.075	1205.0	87.274	0.017069085	0.9791379	0.0015101185	0.0022829447
1	31	4021	1975	12.369	15.524	148.0	14.036	0.99706537	0.00031374936	0.002558731	6.224979e-05
1	32	1390	1962	19.0	20.0	313.5	90.0	0.9974911	0.0023221355	3.4453402e-05	0.00015231578
1	33	1888	1960	13.537	40.153	433.0	4.764	0.25386432	0.56782085	0.07362908	0.10468578
1	34	501	1914	14.56	20.881	140.5	73.61	0.9661647	0.00058768713	0.03310735	0.00014019763
