Frame	ID	CentroidX	CentroidY	Width	Length	Area	Angle	NONpro	PARcau	SPIter	STEvir
1	0	5080	2942	45.0	53.0	1933.5	90.0	0.84260356	0.08964803	0.06649736	0.0012510753
1	1	5246	2926	25.962	90.802	1669.5	73.301	0.18584715	0.10337014	0.7037107	0.0070719426
1	2	2859	2771	12.083	51.078	440.5	22.38	0.17817765	0.107342795	0.7038353	0.010644286
1	3	3249	2731	13.0	53.0	496.5	90.0	0.12579013	0.6454015	0.20449193	0.024316447
1	4	4371	2635	10.259	24.418	191.0	47.49	0.25046313	0.0041303327	0.7448236	0.0005829774
1	5	5029	2613	27.019	37.054	615.5	87.614	0.3195833	0.009227609	0.6698392	0.0013499358
1	6	852	2603	14.0	21.0	221.5	90.0	0.8275391	0.16532865	0.003387034	0.003745204
1	7	3018	2548	13.0	47.0	386.0	90.0	0.4612699	0.14695138	0.3877908	0.0039880117
1	8	473	2408	20.156	81.69	1174.0	46.397	0.11319121	0.0847767	0.7946865	0.0073455907
1	9	1770	2383	14.0	18.0	204.0	90.0	0.5012029	0.008998739	0.48919418	0.00060411997
1	10	4412	2369	18.0	21.0	298.5	90.0	0.8572581	0.023488367	0.11868328	0.0005702232
1	11	2286	2338	58.739	136.793	1388.5	11.56	0.0045340178	0.0013031206	0.948589	0.045573886
1	12	2659	2316	9.487	50.596	351.0	18.435	0.04518448	0.0100948615	0.8903317	0.054389004
1	13	1204	2298	37.165	69.478	1590.5	55.954	0.47116843	0.0147160925	0.5094577	0.004657806
1	14	2654	2228	14.849	20.506	230.0	45.0	0.86614347	0.021067072	0.11236594	0.00042356845
1	15	2101	2104	40.697	79.739	2038.5	79.38	0.7415037	0.042654313	0.2131032	0.002738691
1	16	4668	1966	7.0	35.0	146.5	90.0	0.45873055	0.014290878	0.5247445	0.0022340617
1	17	4791	1969	12.748	22.594	203.0	65.225	0.40344292	0.0012603936	0.5946092	0.00068752776
1	18	821	1962	15.0	15.0	173.0	90.0	0.9404286	0.03809405	0.020947374	0.00053005485
1	19	1893	1947	16.378	21.101	270.5	12.995	0.8092116	0.0067771226	0.18326418	0.0007470784
1	20	1768	1974	59.841	115.741	3492.0	80.433	0.17073426	0.02097631	0.7493607	0.058928695
1	21	3389	1849	12.816	21.077	195.0	68.199	0.83743316	0.01641683	0.1457693	0.00038070622
1	22	4982	1806	12.0	13.0	117.0	90.0	0.5827647	0.005698513	0.41034955	0.0011872683
1	23	719	1743	43.0	49.0	1531.0	90.0	0.15762256	0.833335	0.002307208	0.0067352746
1	24	260	1671	13.0	18.0	178.0	90.0	0.46951777	0.013685351	0.5158754	0.0009215361
1	25	2933	1650	10.689	18.337	152.0	11.31	0.26687124	0.013591118	0.718783	0.0007545906
1	26	113	1632	18.795	23.479	336.5	63.435	0.74222845	0.20364569	0.053729557	0.00039637738
1	27	4579	1543	28.071	45.177	933.0	84.806	0.8943792	0.05493585	0.04973718	0.00094773597
1	28	5183	1508	9.124	16.621	101.0	8.13	0.5607282	0.00068300933	0.4371391	0.0014496297
1	29	372	1498	13.0	14.0	134.0	90.0	0.2582498	0.009271784	0.7316222	0.0008562034
1	30	5287	1450	8.078	28.04	99.0	21.371	0.60900354	0.01181511	0.378422	0.00075937965
1	31	5398	1442	16.0	18.0	174.5	-0.0	0.23664208	0.00044484565	0.76229787	0.00061517925
1	32	473	1396	12.0	13.0	121.5	90.0	0.9871378	0.0018262389	0.010935819	0.00010005947
1	33	5134	1387	14.0	15.0	140.0	0.0	0.5136557	0.0025746534	0.48187476	0.0018948445
1	34	4284	1299	31.623	37.947	857.0	18.435	0.5665475	0.1025144	0.3224585	0.008479649
1	35	343	1275	15.305	16.008	158.0	38.66	0.44236696	0.001242604	0.555812	0.00057837565
1	36	2300	1250	8.559	17.066	114.0	5.194	0.8386224	0.0029549433	0.15798084	0.0004418283
1	37	636	1249	12.0	14.0	127.5	90.0	0.73035	0.003779107	0.26525378	0.0006171435
1	38	4875	1173	24.083	55.227	914.5	84.289	0.69657457	0.17323807	0.12234394	0.007843369
1	39	4289	1165	9.862	16.378	115.5	60.255	0.8296821	0.0067873853	0.16325448	0.00027601657
1	40	3360	1151	11.769	47.671	336.0	77.471	0.3597287	0.019212434	0.62022847	0.00083042326
1	41	483	1115	10.548	29.347	216.0	81.027	0.35714552	0.003291662	0.63878584	0.0007769131
1	42	4443	1117	27.0	31.0	648.5	90.0	0.9238152	0.03854961	0.034877222	0.0027580012
1	43	936	1019	10.63	19.799	145.5	45.0	0.9566761	0.0006146098	0.04227561	0.00043367493
1	44	1096	1013	12.0	14.0	141.0	90.0	0.5525834	0.004804271	0.44157928	0.0010330535
1	45	4911	992	32.45	37.443	861.0	33.69	0.47822973	0.0018766708	0.5193265	0.00056701957
1	46	2377	962	10.0	11.0	93.0	90.0	0.99161	0.0024104188	0.0057468466	0.00023278258
1	47	3999	967	33.541	46.69	1158.5	80.538	0.9955525	0.0041013504	0.00031650296	2.9605986e-05
1	48	645	975	25.456	67.882	1217.5	45.0	0.2393013	0.4374448	0.2676414	0.05561255
1	49	93	940	24.042	71.568	1084.5	15.68	0.6959709	0.1444714	0.1484494	0.011108332
1	50	2291	933	12.5	80.039	445.5	34.931	0.0079906145	0.040758856	0.93820584	0.013044711
1	51	637	865	12.0	23.0	148.0	90.0	0.23803096	0.0021621797	0.7587834	0.0010234474
1	52	160	856	26.0	33.0	687.5	90.0	0.7413542	0.23936492	0.013918047	0.005362795
1	53	4675	841	18.601	28.018	372.5	55.008	0.6501862	0.019688513	0.3292321	0.00089319254
1	54	2927	777	8.322	24.274	128.0	59.036	0.69625586	0.01057312	0.29297003	0.00020104373
1	55	1055	686	23.022	80.056	1368.5	2.121	0.2939422	0.04528525	0.6594299	0.0013426004
1	56	4107	649	17.0	20.0	284.5	90.0	0.7517877	0.021373596	0.22612827	0.0007104246
1	57	4602	638	18.385	42.953	340.0	65.376	0.55821955	0.0008076836	0.4400654	0.00090739276
1	58	4363	626	23.537	36.878	580.5	12.529	0.81361496	0.007286168	0.17846452	0.0006343293
1	59	749	604	12.0	15.0	147.5	90.0	0.9136581	0.00185239	0.0841224	0.00036716275
1	60	5280	602	13.153	22.204	225.5	81.87	0.322115	0.001450197	0.67435575	0.0020790913
1	61	2055	573	13.0	17.0	168.0	90.0	0.9825565	0.010541785	0.00040802357	0.006493534
