Frame	ID	CentroidX	CentroidY	Width	Length	Area	Angle	DIDnas	NONpro	PARbur	PARcau	SPIter	STEvir
21	0	1177	2630	18.028	34.67	468.5	33.69	8.7103916e-05	0.018121645	0.021398835	0.07189097	0.8880936	0.00040783943
21	1	2179	2605	26.519	59.053	1320.0	87.397	0.8293381	6.707485e-05	9.973709e-07	0.17047554	6.8009795e-05	5.031619e-05
21	2	2854	2267	16.14	26.58	273.0	15.945	7.731356e-06	0.8209844	0.16455504	0.00020916881	0.014231232	1.2424016e-05
21	3	5097	2146	23.817	63.571	1137.0	39.806	0.0005249636	1.6027641e-06	3.5885975e-07	0.9989893	0.00045563246	2.8278115e-05
21	4	4255	1795	13.124	51.1	487.5	73.301	3.2412252e-05	8.000969e-05	1.1956084e-05	0.9844994	0.015349888	2.6299862e-05
21	5	4498	1750	15.62	22.023	264.5	51.34	3.6484512e-06	0.06597193	0.9288654	3.5498597e-05	0.005120598	3.0040121e-06
21	6	5219	1759	18.446	59.944	851.0	57.995	0.0002490754	7.307327e-06	6.516982e-07	0.9972139	0.0024638677	6.5204826e-05
21	7	580	1725	17.0	73.0	1016.5	90.0	1.2672496e-06	5.410813e-06	5.7528547e-07	0.0004935626	0.99941194	8.7221306e-05
21	8	1052	1556	15.652	29.069	365.0	26.565	0.030189186	0.022767738	0.036335845	0.9053911	0.0041825827	0.0011335221
21	9	759	1479	12.021	55.861	534.5	45.0	8.879222e-05	0.00017882771	4.425243e-06	0.686704	0.31277257	0.00025133105
21	10	540	1324	27.987	65.956	1460.0	70.017	0.00039698207	1.7546137e-06	1.0865064e-06	0.99932384	0.00027494814	1.3520191e-06
21	11	581	1235	22.0	27.0	455.5	90.0	8.229006e-06	0.008543566	0.98855454	0.001900022	0.0009822492	1.1380378e-05
21	12	4404	1152	0.707	77.54	590.0	69.444	6.440739e-07	4.0486106e-05	8.306163e-07	3.9512244e-05	0.99990726	1.1154882e-05
21	13	75	1023	30.017	60.075	1472.0	2.726	0.9943516	2.1247088e-06	1.15047136e-07	0.0056419177	9.0801063e-07	3.238889e-06
21	14	3783	1005	13.865	28.43	274.0	65.225	0.00011557847	0.6888828	0.28671142	0.0016588463	0.022604503	2.6855978e-05
21	15	4064	927	30.696	49.52	1221.5	78.111	0.99935824	1.6168841e-06	5.9541543e-07	0.0006382636	3.6321563e-07	1.0040878e-06
21	16	2196	911	17.357	51.296	691.0	42.51	0.0003080831	2.6077381e-05	1.357822e-05	0.99356645	0.0059113777	0.0001744006
21	17	1971	840	10.689	88.041	655.5	8.881	1.584963e-07	8.604435e-06	4.004965e-08	9.6175145e-06	0.99993706	4.4423927e-05
21	18	2981	747	15.264	67.417	821.5	57.995	4.7862297e-05	7.741279e-06	2.1046928e-07	0.9995672	0.00032669443	5.0276347e-05
21	19	2090	469	22.94	30.842	558.0	73.301	0.0008650357	0.1512087	0.57486445	0.07626442	0.1964964	0.00030102604
21	20	1235	417	22.561	30.806	518.5	12.529	1.100695e-05	0.0048561958	0.9938723	0.00015126844	0.0011006064	8.619711e-06
21	21	5167	382	34.442	35.146	923.5	39.806	0.99757427	5.1804775e-05	2.7985863e-05	0.002260684	5.3021806e-05	3.2223485e-05
21	22	2978	350	13.2	52.347	526.5	64.654	9.7607306e-05	0.00016347675	2.4404573e-05	0.055729922	0.9438095	0.00017501938
21	23	4618	283	35.128	66.272	1854.0	5.44	0.9997117	3.871889e-07	7.891602e-08	0.00028685806	1.0689338e-07	8.3588947e-07
21	24	4125	284	12.207	97.35	906.0	56.31	1.019224e-06	0.00015436685	1.832165e-07	1.9512468e-05	0.99783534	0.0019895667
21	25	1960	206	20.0	22.0	348.0	90.0	2.4952617e-05	0.023446728	0.9749604	0.00016094687	0.0013942121	1.2713981e-05
21	26	4546	125	31.305	69.771	1802.0	26.565	0.99957854	2.592041e-08	4.0937234e-10	0.00042011886	3.579339e-07	9.860777e-07
22	14	3784	1008	13.928	27.857	283.5	21.801	5.52435e-05	0.36867565	0.6186401	0.0009506091	0.0116684325	9.986086e-06
22	25	1965	205	20.0	24.0	369.5	90.0	4.247624e-06	0.022917856	0.9738858	7.6146345e-05	0.0031115622	4.4024437e-06
