Frame	ID	CentroidX	CentroidY	Width	Length	Area	Angle	DIDnas	NONpro	PARbur	PARcau	SPIter	STEvir
21	0	1177	2630	18.028	34.67	468.5	33.69	0.004917411	0.00012526584	0.34624362	0.010062916	0.6352119	0.003438899
21	1	2179	2605	26.519	59.053	1320.0	87.397	0.9460668	2.106617e-08	3.1615536e-06	0.0029701833	2.5702306e-05	0.050934196
21	2	2854	2267	16.14	26.58	273.0	15.945	1.1644247e-05	0.020435678	0.9455541	9.142603e-06	0.03396068	2.8725695e-05
21	3	5097	2146	23.817	63.571	1137.0	39.806	0.0025710727	1.2562156e-06	4.5877397e-05	0.16246419	0.00032031588	0.8345973
21	4	4255	1795	13.124	51.1	487.5	73.301	1.1282016e-06	1.000005e-06	0.0010942088	0.99315464	0.0054604025	0.00028869457
21	5	4498	1750	15.62	22.023	264.5	51.34	3.3681154e-05	0.008868438	0.9836146	6.677861e-05	0.007409278	7.122107e-06
21	6	5219	1759	18.446	59.944	851.0	57.995	0.0015938965	4.4574263e-06	0.00012638386	0.098792225	0.0015496339	0.8979334
21	7	580	1725	17.0	73.0	1016.5	90.0	0.00020928774	2.4234103e-08	3.5718742e-06	0.00013851571	0.96639997	0.033248644
21	8	1052	1556	15.652	29.069	365.0	26.565	0.040702585	0.0028231929	0.45214552	0.3274758	0.1643133	0.012539562
21	9	759	1479	12.021	55.861	534.5	45.0	8.2244434e-05	1.32250325e-05	0.00059931725	0.78197217	0.16322917	0.05410386
21	10	540	1324	27.987	65.956	1460.0	70.017	0.93738145	2.5077887e-07	0.00018423217	0.049426384	0.00096460996	0.012042972
21	11	581	1235	22.0	27.0	455.5	90.0	0.0002691318	0.00012829785	0.9970925	0.0007649553	0.0017086008	3.657573e-05
21	12	4404	1152	0.707	77.54	590.0	69.444	2.0826114e-06	5.3623633e-05	2.3410528e-05	0.00019612895	0.9995921	0.00013263196
21	13	75	1023	30.017	60.075	1472.0	2.726	0.9949502	2.626659e-08	4.2773318e-06	0.0011662908	9.1576345e-07	0.0038783618
21	14	3783	1005	13.865	28.43	274.0	65.225	0.00046947945	0.14793873	0.45939124	0.000753791	0.38555592	0.0058908826
21	15	4064	927	30.696	49.52	1221.5	78.111	0.9999249	2.0156843e-09	1.2604432e-06	6.729475e-06	1.1204912e-07	6.697939e-05
21	16	2196	911	17.357	51.296	691.0	42.51	0.0052547874	4.662175e-05	0.0033259885	0.19179288	0.029109368	0.7704704
21	17	1971	840	10.689	88.041	655.5	8.881	2.222119e-08	1.07620025e-07	4.309223e-08	2.4634779e-05	0.9998776	9.756438e-05
21	18	2981	747	15.264	67.417	821.5	57.995	6.0774608e-05	1.6383406e-06	0.00021377	0.9459599	0.0012917112	0.052472074
21	19	2090	469	22.94	30.842	558.0	73.301	0.012988533	0.00023647075	0.88418055	0.00031675922	0.10132014	0.0009574837
21	20	1235	417	22.561	30.806	518.5	12.529	0.002459063	0.0011527633	0.99556255	8.0511076e-05	0.0006754759	6.965667e-05
21	21	5167	382	34.442	35.146	923.5	39.806	0.99970883	3.2289446e-07	8.6384345e-05	2.5348072e-05	8.97603e-06	0.00017019377
21	22	2978	350	13.2	52.347	526.5	64.654	4.5814304e-05	1.5825904e-05	0.0017790624	0.057095848	0.9341716	0.006891868
21	23	4618	283	35.128	66.272	1854.0	5.44	0.9998658	3.090051e-09	1.270546e-06	9.616572e-06	1.8918715e-08	0.00012318407
21	24	4125	284	12.207	97.35	906.0	56.31	8.231657e-06	3.0185379e-06	9.738734e-07	0.0011597599	0.25506568	0.7437624
21	25	1960	206	20.0	22.0	348.0	90.0	0.0062942873	0.08939513	0.8981775	0.0007642459	0.004718962	0.0006498897
21	26	4546	125	31.305	69.771	1802.0	26.565	0.991981	1.3836956e-08	1.2428245e-06	0.0010103848	5.122834e-07	0.0070068613
22	14	3784	1008	13.928	27.857	283.5	21.801	1.7559407e-05	0.029206723	0.96335465	4.6206565e-05	0.0073485444	2.633406e-05
22	25	1965	205	20.0	24.0	369.5	90.0	0.00010758	0.013634689	0.9555561	0.00019050243	0.030441295	6.9924776e-05
22	21	5169	379	34.828	41.869	1106.0	50.194	0.849403	5.312625e-05	0.00097381696	0.00048098623	0.00025823325	0.14883083
22	22	2969	350	13.463	52.738	542.5	68.199	2.3439412e-05	2.4650312e-06	0.0028359704	0.8542147	0.13591446	0.0070089633
22	8	1049	1565	15.652	29.967	354.5	26.565	0.05125211	0.0005528496	0.107071966	0.7930981	0.032275863	0.015749093
22	2	2862	2271	19.0	28.0	364.5	90.0	0.00083306135	0.110854916	0.4428778	0.00027389257	0.44487116	0.000289122
