Frame	ID	CentroidX	CentroidY	Width	Length	Area	Angle	DIDnas	NONpro	PARbur	PARcau	SPIter	STEvir
21	0	718	2866	12.971	84.358	766.5	28.856	2.0000603e-07	3.9140504e-09	6.2612755e-11	7.299616e-05	0.00038939103	0.99953747
21	1	2390	2788	15.24	26.575	321.5	48.366	0.0006825043	0.00017806889	0.79918844	0.002495226	0.19706224	0.0003934756
21	2	1717	2773	25.283	151.246	2352.5	65.194	6.482192e-11	2.0369459e-13	9.646621e-18	2.9407605e-12	3.4287215e-11	1.0
21	3	174	2627	11.673	102.339	849.0	9.324	5.506522e-07	1.8766764e-06	6.828561e-08	0.00022590457	0.9959496	0.0038219797
21	4	158	2362	17.464	69.376	956.0	74.745	0.0001473268	7.300307e-06	4.284998e-05	0.73361987	0.0005847979	0.26559785
21	5	2991	2365	14.3	61.307	683.0	52.306	1.1387345e-05	1.315213e-05	0.00014425056	0.946345	0.034960862	0.01852527
21	6	3617	2336	9.708	23.436	142.0	78.69	1.1846229e-06	0.0069249193	0.91938746	4.9264134e-05	0.07363669	4.8017034e-07
21	7	5111	2337	17.529	59.104	787.5	86.634	3.5494424e-05	2.7484313e-05	7.4937125e-06	0.9906907	0.0009368353	0.00830203
21	8	1510	2181	31.662	68.062	1757.0	74.291	0.99993086	1.825367e-08	3.761294e-09	1.9903737e-06	2.1051124e-08	6.706045e-05
21	9	3974	2047	14.009	51.587	514.5	56.31	3.0445784e-05	5.105336e-05	0.0020031699	0.21495746	0.7764764	0.006481537
21	10	3571	1931	14.56	33.242	359.5	74.055	4.2849148e-05	2.6928992e-05	0.73066825	0.22517598	0.0440705	1.5425429e-05
21	11	3129	1946	29.125	62.835	1487.0	34.592	0.9982284	2.475007e-07	3.534217e-08	3.1037183e-05	1.718882e-06	0.0017386589
21	12	4461	1929	20.304	62.867	939.0	39.289	7.6847755e-05	4.502509e-06	0.00056761585	0.7967694	0.00090682134	0.2016749
21	13	3238	1902	13.0	14.0	133.5	90.0	8.7002634e-05	0.14257617	0.7973577	0.00013204644	0.059837192	9.950705e-06
21	14	2446	1850	14.0	26.0	298.0	90.0	0.021918042	0.009393587	0.9041098	0.010823161	0.053691525	6.401603e-05
21	15	1744	1817	16.919	27.042	335.0	56.31	0.003897375	8.70973e-05	0.9539113	0.02132808	0.020746553	2.968745e-05
21	16	1487	1831	10.548	79.833	629.0	30.964	3.464354e-05	2.5479243e-05	1.679122e-06	0.0066034044	0.8108709	0.18246387
21	17	3443	1740	15.264	31.385	362.5	59.036	0.0005712129	2.5849804e-05	0.07872313	0.8687074	0.04932687	0.0026454376
