Frame	ID	CentroidX	CentroidY	Width	Length	Area	Angle	DIDnas	NONpro	PARbur	PARcau	SPIter	STEvir
21	0	2263	2885	13.892	32.757	335.0	57.995	0.0009869458	3.5868576e-05	1.6549304e-05	0.03969513	0.059427943	0.8998375
21	1	4664	2637	14.23	29.095	303.5	71.565	0.12760329	0.0059312703	0.061530523	0.0030239252	0.62231696	0.17959407
21	2	3739	2402	12.042	29.698	267.5	45.0	0.59063715	0.022800012	0.029409852	0.044670217	0.055003446	0.25747928
21	3	4152	2013	11.0	26.0	214.5	90.0	0.48843992	0.009218364	0.005661554	0.00085113157	0.0063945944	0.4894345
21	4	4439	1945	15.0	26.0	317.0	90.0	0.55962074	0.017711582	0.0077773184	7.79673e-05	0.018428989	0.39638337
21	5	4322	1871	17.889	29.069	382.0	63.435	0.033593427	9.642885e-05	7.954641e-05	2.1218757e-05	0.0017295922	0.96447986
21	6	4460	875	14.213	28.601	317.5	36.87	0.014328063	1.7697486e-05	0.0003913199	0.0070557925	0.029988375	0.94821876
21	7	3970	639	14.318	31.305	318.5	63.435	0.0041627237	7.033009e-05	0.0003793861	0.0015602914	0.03819238	0.9556349
21	8	5155	590	17.0	26.0	359.0	90.0	0.06919924	0.0010648026	0.44676495	0.0009794587	0.33919078	0.14280075
21	9	5046	486	14.765	30.017	351.0	29.055	0.09299486	0.00018926995	0.3107417	0.0061070346	0.29194894	0.29801822
21	10	3973	81	16.643	39.661	503.5	56.31	0.0057757357	2.9278224e-05	2.753257e-06	8.523273e-05	0.00025950512	0.99384755
22	9	5047	487	15.264	30.529	346.0	31.608	0.05303482	0.00016116933	0.5607235	0.014363034	0.17217314	0.19954443
22	1	4666	2640	13.865	27.951	302.0	63.435	0.5047723	0.0019383772	0.13244107	0.0037355465	0.062010724	0.2951019
22	8	5156	595	17.0	28.0	363.5	0.0	0.521797	0.003715634	0.33436108	0.0030760928	0.012101743	0.12494847
22	4	4440	1935	15.0	25.0	285.5	90.0	0.656636	0.01937041	0.09926927	0.00073159655	0.022981795	0.20101081
22	5	4330	1864	18.385	26.87	363.5	45.0	0.0017870422	0.0002573536	4.176781e-05	0.00031814663	0.06862149	0.92897415
22	7	3956	642	15.207	31.085	352.0	80.538	0.4715415	0.002190841	0.0019252078	0.011431258	0.051283833	0.46162745
22	2	3749	2415	12.728	28.284	274.0	45.0	0.7891238	0.005654164	0.018902268	0.008733995	0.028329909	0.14925599
22	6	4450	888	12.806	30.61	320.0	38.66	0.008039575	2.6155521e-05	4.1114145e-06	0.006104633	0.029061582	0.956764
22	3	4168	2006	11.705	27.203	234.5	71.565	0.6840829	0.010023485	0.02833527	0.0027611996	0.029207772	0.24558933
22	0	2248	2895	14.151	30.956	345.0	59.036	0.032494742	0.0012840985	0.00042869564	0.0027193802	0.021523386	0.9415497
22	10	3957	94	15.556	39.598	471.5	45.0	0.06185847	0.00031988387	0.00041526175	0.07758184	0.017385418	0.8424391
23	9	5050	489	15.0	30.0	345.5	36.87	0.10377644	8.701209e-05	0.019189226	0.02945342	0.031042114	0.8164518
23	1	4667	2642	13.865	27.951	295.5	63.435	0.071178645	0.0011374593	0.0096784225	0.0012570635	0.06721872	0.8495296
23	8	5157	600	17.0	26.0	362.5	90.0	0.39115953	0.00159887	0.14330441	0.00019585078	0.006967489	0.45677397
23	5	4334	1860	16.8	26.349	337.5	33.69	0.22997642	0.0016004099	0.13258222	0.010065566	0.29764366	0.32813174
23	4	4443	1926	16.0	24.0	290.5	90.0	0.07480677	0.0023692467	0.009954936	0.0012227759	0.009485433	0.9021608
23	7	3942	644	15.0	29.0	337.0	90.0	0.081988685	0.00080225145	0.0008077055	0.0013020734	0.03890907	0.8761902
