Frame	ID	CentroidX	CentroidY	Width	Length	Area	Angle	DIDnas	NONpro	PARbur	PARcau	SPIter	STEvir
21	0	2263	2885	13.892	32.757	335.0	57.995	6.469887e-05	8.076095e-06	0.0324754	0.95859057	0.0061983727	0.0026628072
21	1	4664	2637	14.23	29.095	303.5	71.565	0.0011536889	0.00054046325	0.9762839	0.0034033987	0.018508848	0.00010973492
21	2	3739	2402	12.042	29.698	267.5	45.0	0.0008414231	0.00021868544	0.58053267	0.20941612	0.20848687	0.0005042978
21	3	4152	2013	11.0	26.0	214.5	90.0	2.236387e-06	0.00028299176	0.94360244	0.001211078	0.054896377	4.8793413e-06
21	4	4439	1945	15.0	26.0	317.0	90.0	0.060220398	0.0020293589	0.915818	0.0067036417	0.013536183	0.0016923554
21	5	4322	1871	17.889	29.069	382.0	63.435	0.25715756	0.00027107281	0.7195286	0.011565768	0.008868585	0.0026083144
21	6	4460	875	14.213	28.601	317.5	36.87	0.0013766411	2.5765512e-05	0.946347	0.02341367	0.028726285	0.00011059359
21	7	3970	639	14.318	31.305	318.5	63.435	2.4279301e-05	1.2210355e-05	0.073460974	0.9064829	0.0187968	0.0012228034
21	8	5155	590	17.0	26.0	359.0	90.0	0.5085137	0.004071509	0.16830944	0.19011484	0.084561884	0.04442855
21	9	5046	486	14.765	30.017	351.0	29.055	0.03215352	0.006619054	0.297114	0.091705784	0.5056473	0.066760324
21	10	3973	81	16.643	39.661	503.5	56.31	5.7658686e-05	2.8140223e-06	0.020275189	0.96474355	0.0018392507	0.013081566
22	9	5047	487	15.264	30.529	346.0	31.608	0.01123341	0.008043198	0.074256204	0.2897403	0.386547	0.23017986
22	1	4666	2640	13.865	27.951	302.0	63.435	0.0006052852	0.0008119046	0.9682791	0.00974582	0.02040641	0.00015145673
22	8	5156	595	17.0	28.0	363.5	0.0	0.8295691	0.0011153383	0.073772535	0.06947946	0.013288587	0.012775014
22	4	4440	1935	15.0	25.0	285.5	90.0	0.028481226	0.02908652	0.5831876	0.13049152	0.21411845	0.0146346865
22	5	4330	1864	18.385	26.87	363.5	45.0	0.8831973	0.00027684707	0.08478366	0.017709972	0.00565877	0.008373499
22	7	3956	642	15.207	31.085	352.0	80.538	0.0009458229	0.00012247886	0.5411156	0.44617754	0.011165266	0.0004733108
22	2	3749	2415	12.728	28.284	274.0	45.0	2.749548e-05	4.5904293e-05	0.9600803	0.0052153156	0.034622833	8.180863e-06
22	6	4450	888	12.806	30.61	320.0	38.66	0.017159183	0.00027380974	0.7353855	0.20883316	0.03565535	0.0026930443
22	3	4168	2006	11.705	27.203	234.5	71.565	1.4033494e-06	1.3234538e-05	0.9460044	0.00029392965	0.05368319	3.8829103e-06
22	0	2248	2895	14.151	30.956	345.0	59.036	0.0011951579	4.0258525e-05	0.05354858	0.8946536	0.046115823	0.004446623
