Frame	ID	CentroidX	CentroidY	Width	Length	Area	Angle	DIDnas	NONpro	PARbur	PARcau	SPIter	STEvir
21	0	2158	2579	12.5	61.614	565.5	74.745	2.1597423e-05	2.945387e-05	4.4563898e-05	0.0025356535	0.9966664	0.0007023175
21	1	2743	1937	16.771	47.405	643.0	26.565	0.043876324	0.00011180662	0.009889217	0.7430333	0.04013639	0.16295294
21	2	152	1545	24.042	24.042	404.5	45.0	0.00070337264	0.45333016	6.220969e-05	0.00015657334	0.0016863283	0.5440613
21	3	1012	1334	15.207	61.19	698.0	46.548	4.9330856e-07	2.9244415e-08	6.4882815e-06	0.99324316	0.0013324274	0.0054173744
21	4	1311	1060	14.422	58.523	602.0	56.31	2.55303e-06	2.019587e-07	9.624768e-06	0.9903126	0.0022771994	0.007397816
21	5	1184	949	15.24	64.979	705.0	39.806	1.9873887e-06	6.9334995e-08	5.584629e-06	0.99880266	7.80236e-05	0.0011115506
21	6	1943	218	13.454	52.326	553.0	45.0	0.0011220275	0.000119817974	0.0005911235	0.6921101	0.058997553	0.24705935
22	2	153	1545	24.0	25.0	416.5	90.0	0.004682692	0.41552013	0.00043510876	0.0046652877	0.013079606	0.56161714
22	1	2739	1946	17.464	47.17	634.0	21.801	5.8830923e-05	1.6471853e-06	0.0008239231	0.99741685	0.0009858642	0.00071290083
22	6	1928	205	13.601	51.614	538.5	34.992	8.706382e-05	4.2646957e-06	7.992359e-05	0.9467802	0.012615075	0.040433377
22	5	1205	964	14.213	63.6	688.0	36.87	3.195925e-05	1.3531306e-06	5.2558848e-05	0.9831871	0.00037595193	0.016351085
22	4	1288	1072	13.892	58.669	628.5	60.945	1.3055988e-07	1.9831328e-08	3.126402e-06	0.99764806	0.00040563	0.0019430897
22	0	2185	2573	12.166	60.828	563.5	80.91	5.1466122e-06	1.1679083e-05	9.1780705e-05	0.04405262	0.9519269	0.003911964
22	3	1039	1312	15.264	62.434	686.0	57.529	2.1636829e-07	5.6355662e-09	2.3908633e-06	0.9577834	0.0009306813	0.04128328
23	1	2737	1955	16.978	47.416	613.0	14.036	0.0023562417	6.3094767e-06	0.017746055	0.9719856	0.0013887582	0.0065170755
23	6	1910	194	13.463	53.956	542.0	29.745	9.541469e-07	6.718696e-08	6.9750686e-06	0.996518	0.0008148163	0.0026591267
23	5	1225	978	14.705	64.228	701.0	34.992	4.7899975e-06	3.6676224e-07	0.00023692816	0.9986866	0.00036166236	0.00070969434
23	4	1266	1083	13.892	58.669	616.5	59.744	1.7528818e-06	2.2212251e-07	2.4469857e-05	0.996473	0.002943144	0.0005573112
23	0	2213	2568	12.748	60.419	572.5	80.134	0.0001339012	2.4447483e-05	0.0038160037	0.5586988	0.43711433	0.00021258104
23	3	1070	1293	15.264	60.539	680.5	59.744	1.1618675e-07	3.4527972e-09	5.2796727e-06	0.994541	1.9588379e-05	0.0054339957
24	2	156	1544	24.254	26.8	402.0	75.964	0.0007407804	0.75316864	7.596696e-05	5.1473922e-05	0.0004672166	0.24549592
24	1	2736	1965	17.029	47.17	622.0	4.764	0.00021135494	3.5708348e-05	0.006110462	0.98345447	0.0051804045	0.0050075995
24	6	1890	183	14.577	57.658	598.0	21.801	3.595325e-07	1.7246971e-07	0.00013648612	0.99660647	0.0030330236	0.00022355231
24	5	1245	992	14.705	65.317	707.5	33.69	8.8591037e-07	4.029095e-07	0.00020682579	0.9984498	0.0010062442	0.00033583064
24	4	1242	1097	14.422	59.908	645.0	56.31	5.468689e-07	4.1852523e-08	4.0357536e-06	0.99577373	0.00078980654	0.0034318531
24	0	2241	2564	14.318	57.271	565.0	77.905	0.0009407275	1.2127919e-05	4.1270505e-05	0.7540001	0.17984225	0.065163516
24	3	1098	1275	15.116	54.777	637.0	56.31	4.5670444e-05	2.04686e-06	0.00030921816	0.98502547	0.0013900924	0.013227525
25	2	158	1544	24.0	25.0	407.5	90.0	0.0004587812	0.0052174614	3.179644e-07	3.9361366e-05	8.3564606e-05	0.9942006
25	1	2736	1975	16.0	49.0	607.0	90.0	0.00015023968	4.7276674e-07	0.0001730317	0.9985812	0.0006484702	0.00044658864
25	5	1265	1004	13.892	64.008	686.0	29.745	4.2766123e-06	3.5392253e-07	0.0001858194	0.99856585	0.00050075323	0.0007429357
25	6	1868	171	14.534	57.691	615.0	26.565	3.7578682e-06	1.6117468e-07	7.391645e-06	0.99546367	0.00020273477	0.0043223016
25	4	1223	1111	14.3	59.519	614.0	54.462	2.5312204e-08	1.5667552e-09	1.0262688e-06	0.99847764	9.812339e-05	0.0014232206
25	0	2266	2557	12.649	56.921	562.5	71.565	1.4701617e-05	5.487153e-06	0.0009961596	0.9591598	0.0381585	0.0016654135
25	3	1122	1253	15.945	55.599	641.5	41.634	9.653212e-07	8.659484e-08	2.8102979e-05	0.91455734	0.00029700602	0.08511646
25	7	5362	845	15.033	68.118	735.0	3.576	5.338853e-06	2.4467095e-08	1.378673e-06	0.99992883	1.894247e-05	4.5560995e-05
26	2	159	1543	24.698	25.239	423.0	32.471	0.11240351	0.35275075	0.0013600502	0.024041189	0.00504118	0.50440323
26	1	2739	1986	16.031	50.09	608.0	85.764	7.858831e-05	2.9764054e-05	0.00089657167	0.92538935	0.069135465	0.0044702897
26	7	5336	843	15.033	66.37	740.0	5.711	1.2842969e-05	3.6866322e-06	4.2217375e-06	0.996267	0.0011154735	0.0025966954
26	4	1204	1127	14.142	58.694	608.5	45.0	2.8245793e-08	4.1524167e-10	1.8722963e-08	0.9993661	0.00034255176	0.00029141278
26	5	1286	1017	13.892	64.008	662.0	29.745	1.757021e-06	4.9600897e-07	0.00035306232	0.9952614	0.0041153864	0.00026794977
26	6	1846	158	13.601	60.465	618.0	33.69	1.0199121e-05	6.345274e-08	8.626354e-06	0.9977603	6.592164e-05	0.0021549002
26	0	2289	2546	12.53	54.589	525.0	61.699	1.719784e-05	1.1163315e-05	0.00038935326	0.58357704	0.41280705	0.0031982916
26	3	1141	1229	15.403	55.509	636.0	35.538	6.023706e-07	4.6993332e-08	9.923407e-06	0.99100786	0.0006291175	0.008352459
27	1	2743	1998	15.133	52.345	611.0	82.875	5.6359236e-06	2.2078058e-05	0.0022676662	0.81680065	0.18032506	0.0005789082
27	7	5311	840	15.075	65.987	750.0	7.125	2.0085745e-05	4.231472e-07	6.382938e-07	0.96919256	0.00031933992	0.030466938
27	5	1308	1028	14.534	66.635	698.0	26.565	8.403668e-06	1.3510924e-06	0.0011014072	0.99579144	0.002317774	0.00077960524
27	6	1826	141	13.454	60.208	627.0	41.634	0.0005874664	3.8886e-06	4.5845638e-05	0.9840469	0.0005341969	0.014781755
27	0	2312	2532	13.038	56.604	566.0	57.995	1.12079315e-05	9.114826e-06	0.0006690565	0.9076422	0.0741521	0.017516362
28	1	2747	2010	16.279	54.129	652.0	77.905	0.00016082768	0.00010737644	0.107856326	0.732394	0.15909302	0.00038839932
28	7	5285	835	15.297	66.287	750.5	11.31	9.503605e-08	6.4049693e-10	6.34658e-08	0.9999739	8.998901e-07	2.5120344e-05
28	5	1330	1040	13.892	63.632	663.5	30.256	1.4135993e-06	2.850707e-07	0.00010604468	0.9949397	0.0041152276	0.000837373
28	6	1808	122	12.748	61.583	602.0	47.49	0.00015389943	9.368204e-06	0.00015534287	0.98763895	0.0029413595	0.009101046
28	0	2335	2516	13.314	57.838	556.0	55.305	1.500644e-05	3.8491184e-05	0.0029046389	0.36526197	0.6310926	0.00068724575
29	2	163	1543	25.0	25.0	413.0	90.0	0.00345651	0.021482866	4.6613623e-05	5.6535988e-05	0.00022389459	0.9747336
29	1	2752	2023	15.297	56.515	648.0	77.471	6.997483e-06	2.2011469e-07	0.0011357863	0.99752134	0.001291097	4.4485092e-05
29	5	1352	1053	14.422	64.9	674.5	33.69	4.058088e-06	2.3413473e-07	6.182452e-05	0.99774534	0.00069291965	0.0014955556
29	7	5259	829	15.297	66.287	769.5	11.31	1.4507698e-06	2.5105297e-07	3.4935038e-06	0.99935204	5.5774864e-05	0.00058693317
29	6	1792	101	13.2	62.5	611.0	53.13	2.6960292e-06	8.9809413e-07	9.402033e-05	0.99733883	0.0018162283	0.0007473574
29	0	2359	2501	12.748	58.809	562.5	63.435	3.794747e-06	2.2672245e-06	0.00015010471	0.09450929	0.9002071	0.005127396
