Frame	ID	CentroidX	CentroidY	Width	Length	Area	Angle	DIDnas	NONpro	PARbur	PARcau	SPIter	STEvir
21	0	4986	2477	12.5	80.295	694.0	74.962	4.726029e-06	3.0169176e-06	8.333767e-06	0.0012927753	0.91610146	0.082589716
21	1	3866	2089	0.0	64.288	441.5	15.255	5.989674e-07	1.0902043e-06	2.9050289e-05	6.319741e-05	0.99990416	1.8515645e-06
21	2	1768	1594	12.53	84.119	744.0	28.369	8.209499e-06	2.072256e-05	9.50969e-06	4.4137734e-05	0.98894346	0.010973997
21	3	3063	1327	9.487	68.007	446.0	16.991	7.879129e-08	5.3416596e-07	1.0469299e-06	5.236058e-06	0.9999914	1.6577678e-06
21	4	3390	1270	10.062	29.517	221.0	63.435	3.9130528e-06	6.1315666e-05	0.027297694	0.010011786	0.96190166	0.0007235791
21	5	2194	1046	10.198	71.386	497.0	78.232	7.36313e-09	5.0246125e-08	7.470632e-08	8.552341e-06	0.99998784	3.4619954e-06
21	6	5243	927	9.962	61.541	465.5	16.991	2.242293e-08	3.5142796e-07	2.04101e-06	6.528523e-06	0.9999888	2.2391796e-06
21	7	833	892	10.308	51.208	408.5	53.973	0.00040202498	5.882712e-05	0.00031243934	0.38365263	0.56473285	0.05084134
21	8	1084	880	11.18	69.426	484.0	11.768	3.3600359e-06	1.7995759e-05	5.051856e-05	0.0021313536	0.9816731	0.016123645
21	9	1243	818	10.689	69.529	493.5	78.111	1.5013988e-08	7.59947e-08	4.1292603e-07	8.8638735e-05	0.99988997	2.0869515e-05
21	10	1964	616	9.22	61.221	365.0	51.34	2.6622265e-06	4.285675e-06	4.3191394e-06	0.00029524395	0.99925715	0.0004363662
21	11	1851	616	11.402	86.215	677.0	51.981	3.3153592e-06	5.3818317e-06	1.2476712e-06	0.00028133896	0.9846192	0.015089454
21	12	4085	412	11.314	26.87	209.5	45.0	1.7157508e-05	9.5125746e-05	0.32708058	0.45779765	0.21497211	3.7358437e-05
21	13	1246	391	12.083	67.624	577.0	23.199	1.5426209e-05	4.8918814e-06	1.4917098e-05	0.00014542161	0.9987803	0.0010390922
22	10	1969	612	8.902	60.052	379.0	50.906	5.925449e-06	1.05371855e-05	1.5489177e-05	0.0001019055	0.9997137	0.00015240948
22	4	3384	1272	9.849	31.385	224.5	66.801	4.149844e-07	1.0366532e-05	0.00076214515	0.0014310604	0.9966826	0.0011133498
22	9	1250	814	10.92	68.031	479.5	75.964	1.0764207e-07	8.6316703e-07	2.5848021e-06	9.28074e-05	0.99984014	6.3504995e-05
22	7	840	887	10.817	52.431	414.5	55.305	0.000105894316	2.2867229e-05	8.6712185e-05	0.06899327	0.7831508	0.14764039
22	5	2202	1042	10.44	70.342	498.0	74.745	2.0074971e-08	1.5830264e-07	8.656737e-07	2.7747128e-05	0.9999666	4.4999547e-06
