Frame	ID	CentroidX	CentroidY	Width	Length	Area	Angle	DIDnas	NONpro	PARbur	PARcau	SPIter	STEvir
21	0	1467	2627	17.241	118.82	1638.0	73.413	1.2677104e-09	2.998008e-11	2.9580447e-14	1.0312632e-08	9.1687635e-09	1.0
21	1	1721	2577	20.881	112.272	1666.0	17.56	6.187069e-08	6.665229e-10	2.9426993e-13	4.193269e-08	1.990576e-07	0.99999964
21	2	1120	2199	27.613	160.351	3350.5	84.019	5.085608e-07	9.322863e-09	1.7861713e-13	2.0094096e-07	1.795983e-07	0.99999905
21	3	3789	2176	25.656	80.723	1447.0	32.471	1.4006334e-05	8.177223e-07	2.7144375e-07	0.00012543211	9.825273e-05	0.9997613
21	4	2668	2058	23.308	145.252	1907.5	35.348	2.7334546e-10	9.6569775e-12	4.4401647e-16	2.4685507e-11	7.603002e-08	0.9999999
21	5	1586	1998	26.349	129.121	2614.5	57.171	2.0444662e-07	3.2665897e-09	3.065088e-11	5.285332e-07	2.172466e-07	0.99999905
21	6	2147	83	29.602	109.065	2450.5	74.168	5.878381e-07	1.18688455e-08	5.5053024e-12	4.1679348e-07	7.712492e-08	0.9999988
22	4	2673	2061	23.585	140.24	2018.0	32.25	2.7955068e-08	1.0426614e-09	8.316567e-13	1.7525553e-09	3.284123e-06	0.99999666
22	3	3781	2171	25.303	78.014	1400.5	38.047	7.435305e-06	1.4056155e-07	4.8266986e-09	2.3934178e-06	7.1245704e-06	0.99998283
22	1	1716	2590	19.647	111.826	1638.5	15.255	4.6389752e-07	2.816885e-08	1.2032997e-10	5.444354e-07	1.1538462e-05	0.99998736
22	6	2150	97	29.517	103.263	2318.0	79.216	2.4911185e-06	9.583531e-09	1.0290887e-12	3.4038237e-07	1.0092061e-07	0.999997
22	5	1571	2006	26.926	129.321	2600.0	58.299	3.408313e-07	6.3604952e-09	1.1784862e-10	1.9850268e-06	3.4212953e-06	0.99999416
22	2	1141	2196	27.295	156.847	3328.0	81.384	4.448983e-06	1.3458566e-07	6.709557e-11	1.9578858e-06	4.0986924e-06	0.9999894
22	0	1460	2606	17.393	118.905	1629.5	70.974	4.7882596e-09	1.4906873e-10	3.8624865e-14	3.0518475e-08	9.964872e-08	0.9999999
23	3	3774	2165	26.163	75.66	1379.5	45.0	1.289176e-06	8.375942e-09	5.877657e-11	3.4093517e-08	7.1347176e-07	0.999998
23	4	2681	2067	23.754	131.477	1885.5	29.683	7.999831e-08	1.0081871e-09	2.4787756e-12	4.5738684e-08	1.2377716e-06	0.9999987
23	1	1711	2604	19.925	113.842	1672.5	18.667	8.586245e-06	9.922944e-07	7.001685e-09	4.0524988e-06	0.00044426616	0.99954224
23	6	2152	111	28.359	95.683	2127.0	81.027	0.00012393798	3.6984105e-08	2.8888813e-11	0.00011021431	2.2750876e-06	0.99976355
23	5	1557	2014	26.42	128.503	2607.0	60.642	4.190258e-06	5.0739562e-08	4.9076754e-10	2.634205e-06	4.223417e-06	0.9999889
23	2	1161	2192	27.659	163.573	3455.0	78.14	1.6699636e-05	1.5661053e-07	2.5197018e-09	1.249318e-05	1.2242279e-05	0.9999584
23	0	1451	2586	17.734	119.885	1593.5	67.027	9.1389546e-10	1.5404428e-11	2.2027344e-15	3.7795838e-09	5.713901e-09	1.0
24	3	3767	2157	25.928	74.265	1356.5	50.572	1.3959316e-05	3.0721844e-07	2.8799023e-09	1.0780665e-06	1.6278762e-05	0.9999683
24	4	2692	2073	23.707	127.012	1739.5	26.323	4.507563e-08	8.638116e-10	2.69265e-13	1.0243397e-08	1.359334e-06	0.9999987
24	6	2154	123	28.636	89.051	1934.0	77.471	1.4600247e-06	1.150702e-08	2.4780774e-12	2.9582889e-06	1.253337e-07	0.99999547
24	1	1705	2618	21.077	114.203	1644.0	21.682	2.924821e-05	6.469859e-06	4.4782027e-08	8.669269e-06	0.004343981	0.9956116
24	5	1542	2021	25.715	127.903	2552.5	63.435	9.6742015e-06	2.858621e-07	4.177718e-09	1.2370871e-05	5.3757893e-05	0.99992394
24	0	1441	2566	18.795	121.001	1603.5	62.425	1.04092554e-10	4.749801e-13	5.5922013e-18	2.6681424e-11	1.00638e-10	1.0
24	2	1184	2187	27.171	165.844	3460.0	77.735	3.636068e-05	5.61874e-07	1.4141581e-09	6.1194096e-06	3.2828437e-05	0.9999242
25	3	3761	2150	26.077	73.783	1366.0	57.144	2.3590123e-06	1.0032888e-08	1.3339811e-10	2.572615e-07	1.07759035e-07	0.99999726
25	4	2701	2078	24.166	126.317	1729.5	23.54	2.007683e-05	8.1456835e-07	5.578503e-09	3.774894e-06	0.0008413367	0.999134
25	6	2156	134	27.409	82.839	1790.5	74.982	1.3572135e-06	8.262133e-09	1.0092347e-11	7.5096723e-06	1.4961368e-07	0.99999106
25	1	1699	2630	21.272	113.879	1695.5	24.717	5.867927e-07	3.914916e-08	1.0279265e-09	2.1523285e-06	4.6445337e-05	0.99995077
25	5	1527	2028	26.401	128.445	2583.5	65.376	7.0714304e-07	4.2493227e-09	1.5664513e-11	5.045527e-07	5.968113e-07	0.9999982
25	0	1429	2546	18.868	120.652	1605.0	56.952	2.92635e-10	1.460836e-12	1.7822217e-17	4.5792186e-11	4.3871773e-10	1.0
25	2	1206	2182	29.77	164.546	3488.0	82.147	8.6721e-06	1.3334401e-08	1.0693804e-13	5.139007e-09	8.362671e-08	0.9999912
26	3	3756	2142	23.707	71.12	1300.0	61.991	1.0107318e-05	3.9577166e-08	3.2132555e-10	9.21018e-07	4.24323e-06	0.9999846
26	4	2713	2083	22.472	129.808	1737.0	20.966	2.2909891e-05	1.4290348e-06	1.10257705e-08	5.7294287e-06	0.0019268325	0.99804306
26	6	2159	145	27.857	77.833	1679.5	69.677	9.882075e-07	2.2010378e-08	5.1009138e-11	6.1243118e-06	2.0033865e-07	0.9999926
26	1	1692	2642	20.797	113.369	1686.5	26.565	1.6298846e-07	3.7246568e-09	3.2503736e-11	3.6494612e-07	1.11588615e-05	0.9999883
26	5	1513	2035	25.739	126.974	2602.5	66.501	8.627643e-08	1.6299587e-09	5.9124177e-12	1.6367613e-07	2.2947532e-07	0.9999995
26	2	1228	2180	34.514	161.019	3463.0	89.151	5.140866e-09	4.854382e-11	4.8253095e-16	8.5183127e-10	2.4607782e-09	1.0
26	0	1415	2526	18.822	121.516	1563.0	52.028	1.7886176e-09	1.2443945e-11	4.6454495e-16	2.400172e-10	1.0627895e-09	1.0
27	3	3752	2136	23.049	65.85	1192.5	66.297	4.104825e-06	2.0337128e-08	3.807392e-11	2.3314196e-07	1.6476265e-06	0.9999939
27	6	2163	156	27.951	78.71	1664.0	63.435	2.3182126e-06	1.795169e-08	2.754089e-09	0.00019615346	7.3279296e-07	0.99980086
27	1	1685	2654	21.03	113.887	1677.5	28.56	3.057397e-09	6.747858e-11	7.1102704e-14	1.0811477e-08	4.3837983e-07	0.9999995
27	5	1500	2043	27.102	128.314	2614.0	60.255	5.6027727e-10	1.5613675e-12	6.4827195e-16	2.829521e-08	1.418929e-09	1.0
27	4	2730	2089	20.881	135.03	1591.5	18.595	3.2539901e-07	3.4167524e-08	1.1945364e-09	4.983291e-07	4.7230777e-05	0.99995196
27	0	1400	2509	17.692	121.017	1572.5	47.353	1.4927037e-11	4.9615937e-14	1.7671773e-19	1.7274127e-12	1.4956078e-11	1.0
27	2	1249	2182	40.311	154.574	3418.5	8.188	3.598916e-10	5.894922e-12	1.4556109e-18	4.242976e-11	1.1217139e-09	1.0
28	3	3748	2130	22.472	61.098	1089.0	68.499	2.3683284e-05	7.0535503e-07	1.7833768e-08	0.00038998493	1.7978793e-05	0.99956757
28	6	2169	167	27.785	83.863	1737.5	59.47	2.9266096e-06	4.238133e-08	4.0530315e-10	0.00010801507	7.0897755e-07	0.9998883
28	4	2741	2092	19.3	140.465	1645.5	16.607	3.535543e-07	1.3610352e-07	1.3103141e-10	7.9468315e-08	0.00015894983	0.9998404
28	1	1678	2666	21.095	113.877	1675.5	30.964	1.7435486e-08	9.660536e-10	1.5490323e-12	2.2594113e-08	8.885739e-07	0.99999917
28	5	1488	2052	26.349	131.603	2663.5	56.31	1.2792796e-09	9.961148e-12	8.6125267e-14	3.1131087e-08	2.8342728e-09	1.0
28	2	1267	2186	43.324	148.946	3404.5	18.699	8.382298e-10	3.0430818e-12	2.1423047e-16	3.214032e-11	2.054454e-09	1.0
28	0	1385	2493	17.692	120.241	1606.5	43.647	7.086875e-11	7.000296e-13	1.2487989e-17	1.1265994e-11	1.5304512e-10	1.0
29	4	2746	2093	19.164	143.462	1920.5	14.37	0.0015577326	0.00027566083	4.601273e-06	8.85413e-05	0.1307988	0.8672747
29	6	2175	178	24.439	90.124	1807.5	59.036	0.00026379485	6.594189e-06	2.7990136e-05	0.17291772	0.00011576225	0.8266681
29	1	1670	2678	20.248	113.991	1657.5	33.354	2.5489304e-09	3.1928606e-11	4.034162e-14	4.434392e-09	1.1611316e-07	0.9999999
29	5	1475	2061	25.402	131.31	2650.0	53.973	5.9336816e-08	5.9273156e-11	2.8834717e-13	1.4731762e-07	2.5513816e-09	0.99999976
29	2	1283	2195	48.192	148.177	3534.0	30.53	1.91145e-10	2.5973201e-13	9.399175e-18	5.9704993e-12	5.48592e-11	1.0
29	0	1368	2477	19.209	119.854	1688.0	40.475	1.0280996e-11	2.6307939e-14	2.0717613e-19	1.0572602e-12	6.9595484e-12	1.0
30	4	2758	2094	19.416	146.891	1974.0	11.482	0.0003631189	2.6479169e-05	1.5374385e-07	1.2332644e-05	0.014116083	0.98548174
30	6	2180	189	25.06	97.529	1963.5	61.607	9.039627e-07	4.5282096e-08	7.123513e-10	0.00015618138	2.5994989e-06	0.99984026
30	1	1661	2690	21.101	114.216	1670.0	36.027	7.178976e-09	4.1874496e-10	2.810855e-13	1.2564746e-08	1.3844243e-06	0.99999857
30	5	1462	2070	25.812	131.344	2636.0	57.265	7.951364e-06	1.4483077e-08	1.4174736e-10	1.8090938e-06	1.3436289e-06	0.9999889
30	2	1300	2209	47.424	147.922	3530.5	42.639	1.0742651e-10	4.1836787e-14	4.9542995e-19	2.7210078e-13	5.650998e-12	1.0
30	0	1351	2463	20.0	118.004	1688.5	36.511	3.6353205e-11	1.4195811e-13	3.897587e-18	3.6552122e-11	4.861461e-11	1.0
31	4	2771	2095	19.729	149.701	1945.5	8.552	5.706815e-06	3.6158585e-07	3.8114972e-10	4.942321e-07	0.00019257977	0.99980086
31	5	1449	2077	25.303	130.431	2566.5	59.689	2.0206032e-06	2.1257167e-09	1.690322e-11	3.2931567e-07	6.1706274e-08	0.9999975
31	6	2185	202	26.926	103.247	2134.5	68.199	1.4894419e-05	3.674619e-08	2.5779168e-09	0.00054331933	1.3807329e-06	0.99944025
31	1	1652	2702	21.401	113.071	1669.0	38.946	2.8755147e-09	1.7306389e-11	2.8381824e-14	2.547317e-09	4.2704247e-08	1.0
31	2	1313	2225	43.2	153.9	3533.0	52.958	1.8774599e-10	2.271007e-14	3.376194e-19	4.636905e-13	2.146833e-12	1.0
31	0	1332	2449	21.095	118.512	1709.5	31.686	5.096964e-11	2.286599e-13	2.8909987e-18	1.0040634e-11	1.8992637e-11	1.0
32	4	2784	2095	20.1	152.738	2011.0	5.711	1.6439925e-06	9.535477e-08	2.539798e-11	1.508954e-07	6.3553336e-05	0.99993455
32	5	1436	2084	24.622	130.009	2560.5	61.144	7.432574e-07	2.649448e-09	2.0847324e-11	7.138239e-07	2.9622117e-07	0.99999833
32	1	1642	2713	21.932	114.022	1735.5	41.845	2.9590447e-08	1.0918504e-09	9.198919e-13	2.326052e-08	4.4860935e-06	0.99999547
32	6	2188	216	28.987	106.964	2265.5	75.292	1.4105408e-05	1.0506703e-08	6.0519003e-12	3.2677901e-06	1.5924806e-07	0.9999825
32	0	1314	2438	19.455	116.054	1635.5	26.862	7.494075e-11	2.1269638e-12	2.628825e-16	2.1607452e-10	2.6228644e-09	1.0
32	2	1325	2242	34.3	158.469	3469.5	59.49	6.3432495e-11	7.0613185e-15	2.0744819e-19	2.5682876e-11	2.6892353e-13	1.0
32	7	4928	2954	28.692	183.205	3245.5	48.814	5.2794573e-09	5.0702265e-13	7.595727e-19	7.3049704e-13	1.35793815e-11	1.0
33	7	4938	2943	34.311	183.571	3268.5	46.715	2.2578366e-08	2.690545e-12	1.5861033e-16	3.5838988e-11	4.6503905e-11	1.0
33	5	1427	2090	25.52	125.516	2506.5	57.265	1.0344388e-08	2.147166e-11	1.1265976e-14	5.2819027e-10	1.1173047e-09	1.0
33	4	2796	2094	19.059	156.819	2089.0	3.662	6.274502e-07	3.824508e-08	8.641046e-12	7.548944e-07	8.689432e-06	0.99998987
33	1	1631	2724	21.57	114.91	1773.0	44.569	1.1408486e-08	1.7442028e-10	3.9102467e-13	1.2227712e-08	3.4932867e-07	0.99999964
33	6	2190	231	28.714	110.329	2362.5	82.962	1.0060462e-06	3.6599052e-10	1.9996908e-14	8.740034e-08	1.626136e-08	0.9999989
33	0	1295	2428	19.5	114.696	1657.0	23.405	1.3765529e-10	4.20704e-12	2.6529746e-14	6.6921785e-08	6.2359526e-08	0.99999976
33	2	1336	2259	28.178	157.003	3393.5	62.447	4.8796505e-11	5.160895e-14	4.9862307e-18	6.196549e-10	1.0245291e-11	1.0
33	8	2472	119	50.401	171.902	4651.0	36.649	9.672578e-11	1.1726884e-13	4.524731e-18	3.6478746e-13	4.017537e-11	1.0
34	5	1422	2093	27.609	121.212	2390.5	55.491	3.6150663e-08	6.677166e-10	4.992257e-13	9.38639e-09	8.445408e-08	0.9999999
34	8	2460	132	48.795	172.54	4571.5	44.469	5.2765253e-10	1.1309542e-12	1.7911306e-16	5.2782713e-12	8.690062e-11	1.0
