Frame	ID	CentroidX	CentroidY	Width	Length	Area	Angle	DIDnas	NONpro	PARbur	PARcau	SPIter	STEvir
21	0	3539	2515	27.789	170.077	2891.0	81.132	1.6039527e-11	3.1195963e-13	3.3328863e-14	2.2689534e-11	7.883607e-06	0.99999213
21	1	2480	2219	24.515	89.627	1588.0	10.84	5.414318e-06	1.0071974e-08	4.0095596e-08	6.6749853e-06	5.051382e-05	0.9999373
21	2	1467	1934	21.077	130.584	1904.0	66.801	3.1367124e-11	5.82137e-15	9.054987e-15	1.0723674e-10	1.3532228e-10	1.0
21	3	2801	1860	28.853	95.459	1879.5	8.344	1.2932347e-08	1.3169516e-12	2.9013524e-13	1.2861422e-09	2.5692419e-08	1.0
21	4	1267	1618	39.205	77.414	1669.0	6.242	6.9015584e-07	1.42226035e-08	6.780422e-09	3.7251873e-06	2.7476274e-06	0.99999285
21	5	1727	1542	37.014	72.028	1401.0	1.245	1.3721209e-06	4.1727606e-07	1.0764292e-08	2.6520365e-07	8.285095e-06	0.9999896
21	6	3125	1575	49.702	175.759	4394.0	66.516	3.1088154e-10	1.047101e-13	4.3995952e-14	1.637812e-10	3.184532e-09	1.0
21	7	3554	1527	26.349	124.122	2487.5	55.713	2.533402e-08	2.1914907e-11	2.6105632e-11	8.159677e-08	9.094309e-08	0.99999976
21	8	2106	1474	27.536	130.795	2808.0	29.592	1.51674385e-05	3.2254775e-08	3.3829156e-08	8.575715e-05	6.166529e-06	0.99989283
21	9	3543	1319	30.761	153.099	3141.5	44.377	1.7082861e-07	1.262775e-10	6.2012166e-11	4.0871832e-08	1.419634e-06	0.99999833
21	10	1818	1315	20.934	151.474	2269.0	40.156	1.7287206e-09	8.9664864e-13	7.563641e-13	8.161647e-10	1.1275642e-08	1.0
21	11	2435	1169	22.825	80.529	1425.0	28.301	0.00034879294	2.7570275e-06	2.814164e-05	0.09279566	0.0021879412	0.9046367
21	12	3346	724	32.33	75.738	1591.0	32.005	1.0246964e-05	1.9929475e-07	3.4122117e-08	7.4807413e-06	1.5203056e-05	0.99996674
21	13	2726	118	24.52	198.142	3421.0	87.852	6.123511e-11	3.3630715e-14	1.7346535e-15	1.0140872e-10	1.9838937e-07	0.99999976
22	5	1729	1547	39.051	67.683	1506.5	13.092	1.5418101e-06	1.1203886e-06	3.594432e-08	8.501069e-07	1.3950238e-05	0.9999825
22	4	1268	1622	44.385	71.063	1729.0	76.201	5.516765e-08	8.8033897e-10	2.6859068e-10	1.643688e-07	1.6602615e-07	0.99999964
22	1	2472	2214	24.52	85.873	1519.0	17.418	4.2111526e-05	7.149171e-08	1.3550872e-06	0.00016427625	0.0002808738	0.99951136
22	3	2798	1869	26.575	99.284	1935.5	4.399	6.153048e-08	1.1472733e-11	6.506602e-12	8.081286e-09	1.7526229e-07	0.99999976
22	12	3345	724	33.185	63.026	1465.0	30.964	3.8266964e-05	5.556519e-06	3.5094445e-07	2.8693175e-05	0.00012980198	0.9997974
22	11	2441	1158	23.049	77.841	1369.0	25.201	8.825061e-05	2.8173238e-06	1.5256722e-05	0.017731035	0.0018531837	0.9803094
22	13	2712	119	24.52	198.107	3381.0	88.152	2.355081e-10	6.5229625e-13	1.3283322e-14	1.14432123e-10	2.9821473e-07	0.99999964
22	6	3121	1560	48.384	176.774	4497.0	71.91	9.8675e-09	1.6633042e-11	5.6334655e-12	1.4532961e-08	2.9005145e-07	0.99999976
22	9	3554	1308	28.32	151.486	3045.5	41.987	5.1807666e-07	1.511711e-10	1.3305404e-10	3.204681e-08	4.164761e-07	0.99999905
22	10	1826	1300	21.708	149.694	2321.5	38.911	2.9046433e-08	5.6785713e-12	1.1130155e-11	4.09307e-09	1.8051137e-08	1.0
22	0	3536	2498	27.459	168.467	2841.0	78.366	6.248228e-11	3.238692e-13	3.6996034e-14	3.1233797e-11	2.4121175e-06	0.9999976
22	7	3565	1542	26.005	125.906	2409.5	52.539	1.2604882e-07	1.12492314e-10	2.0694212e-10	1.5103049e-06	1.4916455e-07	0.9999982
22	8	2096	1492	25.045	133.046	2669.0	26.565	6.4374086e-07	4.883489e-09	1.0709407e-09	3.3857584e-06	4.176924e-06	0.9999918
22	2	1459	1913	20.718	131.743	1940.0	70.313	3.3477607e-12	3.8220316e-15	1.0369759e-14	2.325305e-11	1.5291994e-10	1.0
23	5	1728	1552	40.672	69.759	1757.5	20.41	5.3128356e-06	9.243146e-08	2.8168072e-08	2.5745043e-05	1.2701973e-05	0.999956
23	12	3344	725	32.5	59.002	1351.0	36.254	2.7890626e-05	3.3385132e-07	1.828926e-08	3.6800934e-06	1.0074042e-05	0.9999579
23	4	1269	1624	46.057	80.878	1915.0	57.995	3.9506253e-07	6.735311e-09	4.4980033e-09	1.1561666e-06	1.3927569e-06	0.999997
23	1	2464	2210	25.812	82.923	1541.0	22.62	0.00058298756	1.7816616e-07	4.8138345e-06	0.00030932663	0.0005874356	0.9985153
23	3	2795	1879	25.52	104.011	2034.5	0.716	5.3957795e-08	4.285478e-12	1.4017939e-12	1.8058599e-09	6.1418625e-08	0.9999999
23	11	2445	1148	22.472	72.801	1265.5	21.038	0.00061614945	1.233233e-05	7.298838e-05	0.081623174	0.007917377	0.909758
23	9	3564	1298	27.659	153.264	3079.5	40.236	2.9587292e-07	3.928329e-10	2.6550914e-10	7.308152e-08	3.5390403e-06	0.99999607
23	6	3117	1545	45.839	177.415	4603.0	75.789	1.2578383e-07	1.4266399e-10	1.5205044e-11	9.470985e-08	3.158037e-07	0.9999994
23	7	3575	1555	26.249	123.434	2409.0	49.658	6.4728073e-07	1.152368e-09	2.554851e-09	3.5084156e-06	9.567157e-07	0.9999949
